Function Name,Defined In,Called In
SDL_RenderPresent,Unknown,"ray_tracing2.c, scene_editor.c, ray_tracing.c, ray_tracing2 copy.c, sdl_menu.c"
SDL_RenderReadPixels,Unknown,animation.c
SDL_SaveBMP,Unknown,animation.c
SDL_SetRenderDrawColor,Unknown,"ray_tracing2.c, scene_editor.c, animation.c, ray_tracing.c, bezier_editor.c, object_editor.c, ray_tracing2 copy.c, render_helper.c, sdl_menu.c, path_system.c"
SDL_WaitThread,Unknown,ray_tracing2.c
SLIDER_FPS_Y,Unknown,sdl_menu.c
SLIDER_FRAME_Y,Unknown,sdl_menu.c
SLIDER_HEIGHT_Y,Unknown,sdl_menu.c
SLIDER_LIGHT_Y,Unknown,sdl_menu.c
SLIDER_MARGIN_X,Unknown,sdl_menu.c
SLIDER_RAYS_Y,Unknown,sdl_menu.c
SLIDER_TRAVEL_Y,Unknown,sdl_menu.c
SLIDER_WIDTH_Y,Unknown,sdl_menu.c
SUBSETTING_BUTTON_MARGIN_X,Unknown,sdl_menu.c
SaveAllSettings,config_manager.c,"scene_editor.c, animation.c, object_editor.c, sdl_menu.c, config_manager.h, config_manager.c"
SaveAnimationConfig,config_manager.c,"config_manager.h, config_manager.c"
SaveConfig,Unknown,sdl_menu.h
SaveFrame,animation.c,"animation.c, animation.h"
SaveSceneConfig,config_manager.c,"object_editor.c, config_manager.h, animation.h, config_manager.c"
ScaleHandle,Unknown,path_system.c
ScaleObject,object_manager.c,"object_manager.h, object_manager.c"
SceneEditorLoop,scene_editor.c,"sdl_menu.c, scene_editor.c, scene_editor.h"
SelectObject,Unknown,object_editor.h
Selection,Unknown,object_editor.c
SetLightPosition,ray_tracing2.c,"ray_tracing2.c, animation.c, ray_tracing2.h"
SetPolygonRadius,object_manager.c,"object_manager.h, object_manager.c, config_manager.c"
SetSceneMode,scene_editor.c,"scene_editor.c, scene_editor.h"
TTF_CloseFont,Unknown,"sdl_menu.c, render_helper.c"
TTF_GetError,Unknown,"sdl_menu.c, scene_editor.c"
TTF_Init,Unknown,"sdl_menu.c, scene_editor.c"
TTF_OpenFont,Unknown,"sdl_menu.c, render_helper.c"
TTF_Quit,Unknown,sdl_menu.c
TTF_RenderText_Solid,Unknown,"sdl_menu.c, render_helper.c"
ToggleBezierMode,path_system.c,"path_system.c, path_system.h"
ToggleBezierPathMode,bezier_editor.c,"bezier_editor.c, object_editor.c, bezier_editor.h"
ToggleSceneMode,scene_editor.c,scene_editor.c
UpdateLightPosition,animation.c,animation.c
UpdateObject,object_manager.c,"object_manager.h, scene_editor.c, object_manager.c, object_editor.c"
UpdateObjects,object_manager.c,"object_manager.h, scene_editor.c, animation.c, object_manager.c"
UpdateSimulation,animation.c,animation.c
ZoomCamera,Unknown,camera_editor.h
allocateDouble2D,ray_tracing.c,ray_tracing.c
allocateInt2D,ray_tracing.c,ray_tracing.c
allocation,Unknown,config_manager.c
angle,Unknown,object_manager.h
at,Unknown,"ray_tracing2.c, bezier_editor.c, object_editor.c"
atan2,Unknown,object_editor.c
atoi,Unknown,sdl_menu.c
buttons,Unknown,object_editor.c
ceil,Unknown,ray_tracing2 copy.c
circle,Unknown,ray_tracing2 copy.c
cleared,Unknown,object_editor.c
color,Unknown,config_manager.c
colors,Unknown,bezier_editor.c
compareInts,render_helper.c,"render_helper.c, render_helper.h"
configurations,Unknown,scene_editor.c
cos,Unknown,"ray_tracing2.c, object_manager.c, ray_tracing.c, object_editor.c, ray_tracing2 copy.c"
distance,Unknown,ray_tracing2.c
end,Unknown,config_manager.c
events,Unknown,"ray_tracing2.h, ray_tracing2 copy.h"
exit,Unknown,"ray_tracing2.c, ray_tracing.c"
exp,Unknown,path_system.c
fclose,Unknown,config_manager.c
floor,Unknown,ray_tracing2 copy.c
fmax,Unknown,ray_tracing.c
fopen,Unknown,config_manager.c
for,Unknown,"ray_tracing2.c, object_manager.c, scene_editor.c, ray_tracing.c, bezier_editor.c, object_editor.c, ray_tracing2 copy.c, render_helper.c, sdl_menu.c, path_system.c, config_manager.c"
fprintf,Unknown,"scene_editor.c, animation.c, ray_tracing.c, make_video.c, animation copy.c, config_manager.c"
fread,Unknown,config_manager.c
free,Unknown,"ray_tracing2.c, ray_tracing.c, render_helper.c, path_system.c, config_manager.c"
freeDouble2D,ray_tracing.c,ray_tracing.c
freeInt2D,ray_tracing.c,ray_tracing.c
fseek,Unknown,config_manager.c
ftell,Unknown,config_manager.c
functions,Unknown,config_manager.c
handling,Unknown,config_manager.c
if,bezier_editor.c,"ray_tracing2.c, object_manager.c, scene_editor.c, animation.c, ray_tracing.c, bezier_editor.c, object_editor.c, make_video.c, ray_tracing2 copy.c, render_helper.c, sdl_menu.c, animation copy.c, path_system.c, config_manager.c"
int,Unknown,render_helper.c
interactive,Unknown,animation copy.c
